Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"Now Foods, Extra Strength Melatonin, 10 mg, 100 Veg Capsules",16.61,1584.0,0.01,supplements,4.6,0,0,0,0,0,0,1
"21st Century, Fish Oil, 1,200 mg, 90 Softgels",8.06,3100.0,0.2,supplements,4.7,0,0,0,0,0,0,1
"Carlson Labs, Wild Caught, Elite Omega-3 Gems, Natural Lemon Flavor, 800 mg, 90 + 30 Free Soft Gels",43.43,5241.0,0.8,supplements,4.9,0,0,0,0,0,0,1
"Nordic Naturals, Nordic Omega-3 Fishies, For Ages 2+, Yummy Tutti Frutti Taste, 300 mg, 36 Fishies",29.42,3873.0,0.3,supplements,4.8,0,0,0,0,0,0,1
"Foods Alive, Superfood, Non-Fortified Nutritional Yeast, 6 oz (170 g)",12.85,3007.0,170.0,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, L-Lysine, 1,000 mg, 250 Tablets",25.85,8209.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, L-Glutamine, 500 mg, 120 Veg Capsules",13.85,2448.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Nature's Way, Vitex Fruit, 400 mg, 100 Vegan Capsules",10.08,6983.0,0.4,supplements,4.5,0,0,0,0,0,0,1
"Now Foods, Super Primrose, Evening Primrose Oil, 1300 mg, 120 Softgels",23.09,4187.0,1.3,supplements,4.6,0,0,0,0,0,0,1
"California Gold Nutrition, L-Theanine, AlphaWave, Supports Relaxation, Calm Focus, 200 mg, 60 Veggie Capsules",15.56,2985.0,0.2,supplements,4.6,0,0,0,0,0,0,1
"Sports Research, Collagen Peptides, Hydrolyzed Type I & III Collagen, Unflavored, 3.9 oz (110.7 g)",13.89,12234.0,110.7,supplements,4.8,0,0,0,0,0,0,1
"Solgar, Evening Primrose Oil, 1,300 mg,  60 Softgels ",18.97,5230.0,0.3,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, Lutein with Lutemax 2020, 20 mg, 60 Softgels",17.43,5390.0,0.02,supplements,4.6,0,0,0,0,0,0,1
"21st Century, Vitamin C with Rose Hips, 1,000 mg, 110 Tablets",10.39,1723.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Potassium Citrate Pure Powder, 12 oz (340 g)",12.0,2431.0,340.0,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, EGCg, Green Tea Extract, 400 mg, 90 Veg Capsules",13.85,6212.0,0.4,supplements,4.6,0,0,0,0,0,0,1
"Nordic Naturals, Daily Omega Kids, Natural Fruit Flavor, 500 mg, 30 Soft Gels",13.16,15477.0,0.5,supplements,4.8,0,0,0,0,0,0,1
"Natrol, Omega-3 Fish Oil, Natural Lemon Flavor, 1,000 mg, 150 Softgels",17.1,7254.0,0.0,supplements,4.7,0,0,0,0,0,0,1
